cleaned_review,sentiment
camera quality amazing battery terrible,positive
camera quality amazing battery terrible,positive
camera quality amazing battery terrible,positive
great product excellent build quality fast delivery reliable performance completely satisfied purchase would definitely recommend,positive
good product quality delivery late packaging poor,negative
phone battery poor camera quality nice,positive
camera quality amazing battery terrible,positive
fast delivery product quality impressive,positive
quality phone ordered bad broken also battery poor,negative
camera quality amazing battery terrible delivery fast good also packaging bad,positive
camera quality amazing perfomrance slow packaging terrible,negative
